iter	Passed	Remaining
0	2	263
1	4	242
2	6	223
3	8	207
4	10	203
5	12	203
6	14	198
7	17	201
8	19	198
9	22	198
10	23	190
11	25	187
12	27	184
13	29	181
14	31	179
15	33	176
16	35	173
17	37	171
18	39	170
19	41	164
20	42	160
21	44	157
22	46	156
23	48	153
24	50	151
25	52	149
26	54	147
27	56	144
28	58	143
29	60	140
30	61	136
31	62	133
32	64	131
33	65	127
34	66	124
35	68	121
36	69	119
37	71	117
38	73	115
39	75	112
40	76	110
41	77	106
42	78	103
43	79	100
44	80	98
45	82	96
46	84	95
47	86	93
48	87	90
49	88	88
50	90	86
51	91	84
52	92	82
53	94	80
54	95	77
55	96	75
56	97	73
57	98	71
58	99	68
59	99	66
60	101	64
61	102	62
62	103	60
63	104	59
64	106	57
65	107	55
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	115	44
72	116	43
73	117	41
74	118	39
75	119	37
76	120	36
77	122	34
78	124	33
79	125	31
80	127	29
81	128	28
82	129	26
83	130	24
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	137	15
90	138	13
91	139	12
92	140	10
93	142	9
94	143	7
95	144	6
96	145	4
97	147	3
98	148	1
99	149	0
