iter	Passed	Remaining
0	115	115635
1	117	58649
2	118	39504
3	120	29938
4	121	24198
5	123	20421
6	126	17925
7	128	15918
8	129	14298
9	131	13014
10	132	11952
11	135	11139
12	136	10394
13	139	9820
14	141	9266
15	142	8794
16	144	8353
17	146	7998
18	149	7738
19	156	7654
20	157	7349
21	159	7070
22	160	6827
23	162	6595
24	164	6401
25	165	6198
26	167	6027
27	169	5894
28	170	5725
29	172	5562
30	173	5421
31	174	5284
32	175	5153
33	177	5030
34	178	4917
35	179	4814
36	181	4723
37	183	4651
38	185	4565
39	186	4478
40	189	4423
41	190	4356
42	192	4291
43	194	4229
44	201	4275
45	203	4228
46	205	4169
47	207	4114
48	209	4063
49	211	4014
50	212	3958
51	214	3905
52	215	3849
53	216	3801
54	218	3758
55	220	3710
56	222	3684
57	224	3651
58	226	3605
59	227	3559
60	228	3515
61	229	3476
62	231	3439
63	232	3399
64	233	3360
65	237	3365
66	239	3335
67	240	3303
68	242	3273
69	244	3242
70	245	3216
71	247	3187
72	248	3157
73	249	3125
74	251	3106
75	254	3088
76	255	3060
77	256	3034
78	258	3008
79	259	2983
80	260	2957
81	262	2934
82	262	2904
83	264	2880
84	265	2860
85	269	2860
86	270	2841
87	271	2817
88	273	2795
89	274	2773
90	275	2754
91	276	2733
92	278	2712
93	279	2692
94	280	2676
95	283	2669
96	284	2653
97	286	2633
98	287	2614
99	288	2597
100	289	2577
101	290	2559
102	291	2542
103	293	2526
104	294	2509
105	295	2495
106	297	2482
107	298	2467
108	299	2450
109	300	2433
110	301	2416
111	302	2401
112	304	2386
113	305	2370
114	306	2355
115	307	2341
116	307	2324
117	308	2309
118	310	2295
119	311	2286
120	312	2273
121	313	2258
122	314	2244
123	315	2232
124	316	2218
125	318	2206
126	318	2192
127	319	2178
128	320	2166
129	321	2154
130	322	2141
131	323	2130
132	325	2119
133	327	2114
134	328	2103
135	329	2092
136	330	2084
137	331	2073
138	333	2063
139	334	2053
140	335	2043
141	336	2031
142	337	2021
143	338	2012
144	340	2007
145	342	2003
146	343	1994
147	344	1985
148	345	1975
149	347	1967
150	348	1960
151	349	1952
152	351	1943
153	352	1934
154	353	1926
155	354	1918
156	356	1914
157	357	1907
158	358	1898
159	360	1890
160	360	1880
161	362	1875
162	363	1866
163	364	1859
164	365	1851
165	366	1843
166	368	1836
167	370	1833
168	372	1829
169	373	1823
170	374	1816
171	375	1808
172	377	1802
173	378	1796
174	379	1789
175	380	1782
176	381	1774
177	382	1767
178	384	1762
179	386	1759
180	387	1752
181	388	1745
182	389	1737
183	390	1731
184	392	1730
185	395	1731
186	396	1724
187	397	1718
188	398	1711
189	401	1709
190	402	1704
191	403	1697
192	404	1692
193	406	1686
194	407	1680
195	408	1674
196	409	1669
197	410	1662
198	411	1655
199	412	1650
200	413	1644
201	415	1641
202	416	1636
203	417	1630
204	418	1624
205	419	1618
206	421	1613
207	422	1608
208	423	1602
209	424	1597
210	426	1593
211	427	1588
212	428	1584
213	431	1585
214	433	1582
215	434	1577
216	435	1572
217	436	1566
218	438	1562
219	439	1556
220	440	1551
221	441	1545
222	442	1540
223	443	1535
224	445	1533
225	446	1528
226	447	1522
227	448	1517
228	449	1512
229	450	1507
230	451	1502
231	452	1496
232	453	1491
233	454	1486
234	455	1481
235	456	1477
236	457	1473
237	458	1469
238	460	1466
239	462	1463
240	463	1458
241	463	1453
242	464	1448
243	465	1443
244	466	1438
245	467	1433
246	468	1429
247	470	1425
248	471	1420
249	472	1417
250	473	1413
251	476	1412
252	477	1409
253	478	1405
254	479	1401
255	480	1397
256	482	1393
257	483	1390
258	484	1386
259	486	1384
260	487	1380
261	489	1377
262	490	1375
263	492	1371
264	493	1367
265	494	1364
266	495	1360
267	496	1356
268	497	1352
269	498	1349
270	500	1345
271	501	1341
272	502	1338
273	504	1335
274	506	1334
275	507	1331
276	508	1328
277	509	1324
278	511	1321
279	512	1317
280	513	1314
281	514	1311
282	516	1307
283	517	1303
284	518	1300
285	520	1299
286	522	1297
287	523	1293
288	524	1289
289	525	1286
290	526	1283
291	527	1279
292	528	1276
293	529	1272
294	530	1268
295	531	1264
296	533	1261
297	536	1263
298	538	1261
299	539	1258
300	540	1255
301	541	1252
302	543	1249
303	544	1245
304	545	1242
305	546	1238
306	547	1235
307	549	1234
308	551	1233
309	552	1230
310	554	1227
311	555	1224
312	556	1220
313	556	1216
314	557	1213
315	559	1210
316	560	1206
317	561	1203
318	562	1200
319	564	1199
320	566	1198
321	567	1195
322	568	1192
323	570	1189
324	571	1186
325	572	1184
326	574	1181
327	575	1179
328	577	1177
329	579	1175
330	580	1173
331	582	1171
332	583	1168
333	584	1165
334	586	1164
335	587	1161
336	589	1159
337	590	1156
338	591	1153
339	592	1150
340	596	1153
341	598	1151
342	599	1149
343	601	1146
344	602	1144
345	604	1141
346	605	1139
347	606	1136
348	608	1134
349	612	1137
350	614	1135
351	615	1133
352	617	1131
353	618	1128
354	619	1125
355	620	1123
356	622	1120
357	623	1118
358	625	1117
359	627	1114
360	628	1111
361	629	1109
362	630	1107
363	632	1104
364	633	1101
365	634	1098
366	635	1096
367	637	1094
368	640	1095
369	641	1093
370	643	1090
371	644	1088
372	645	1085
373	646	1082
374	647	1079
375	649	1077
376	650	1075
377	651	1072
378	653	1070
379	655	1069
380	657	1067
381	658	1065
382	659	1062
383	661	1060
384	662	1057
385	663	1055
386	664	1052
387	665	1049
388	666	1046
389	667	1044
390	669	1043
391	671	1041
392	672	1038
393	673	1036
394	674	1033
395	675	1030
396	676	1028
397	678	1025
398	679	1023
399	680	1020
400	681	1018
401	683	1016
402	686	1017
403	687	1014
404	689	1012
405	690	1009
406	691	1006
407	692	1004
408	693	1001
409	694	999
410	695	996
411	696	993
412	697	990
413	698	989
414	700	986
415	701	984
416	702	981
417	703	978
418	704	976
419	705	973
420	706	971
421	707	968
422	708	965
423	709	963
424	710	960
425	710	957
426	712	955
427	714	954
428	715	952
429	716	950
430	717	947
431	719	945
432	720	943
433	721	940
434	722	938
435	723	935
436	724	932
437	725	930
438	726	927
439	727	925
440	728	923
441	729	921
442	731	919
443	732	916
444	733	914
445	734	911
446	735	909
447	736	906
448	737	904
449	738	902
450	738	899
451	739	896
452	740	894
453	741	892
454	743	890
455	745	888
456	746	886
457	747	884
458	748	881
459	749	879
460	750	877
461	751	874
462	752	872
463	753	870
464	754	867
465	755	865
466	756	863
467	757	861
468	759	859
469	760	857
470	761	855
471	762	853
472	763	850
473	764	848
474	765	846
475	766	843
476	767	841
477	768	839
478	769	836
479	770	834
480	771	832
481	773	830
482	774	829
483	775	826
484	776	824
485	778	823
486	779	821
487	780	819
488	782	817
489	783	815
490	784	813
491	785	810
492	786	808
493	787	806
494	789	805
495	790	803
496	792	801
497	793	799
498	794	797
499	795	795
500	797	794
501	798	792
502	800	790
503	801	788
504	803	787
505	805	786
506	806	784
507	807	782
508	808	780
509	810	778
510	811	776
511	812	774
512	813	772
513	814	770
514	815	767
515	816	765
516	817	764
517	819	762
518	820	760
519	821	758
520	822	756
521	823	754
522	824	752
523	825	749
524	826	747
525	827	745
526	828	743
527	829	741
528	830	739
529	831	737
530	833	736
531	834	734
532	835	732
533	836	730
534	838	728
535	839	726
536	840	724
537	841	722
538	843	721
539	844	719
540	846	717
541	848	716
542	849	714
543	850	712
544	851	710
545	852	709
546	854	707
547	855	705
548	856	703
549	857	701
550	858	699
551	859	697
552	860	695
553	862	694
554	863	692
555	864	690
556	865	688
557	867	686
558	868	684
559	868	682
560	870	680
561	871	678
562	872	676
563	873	674
564	874	672
565	874	670
566	876	669
567	878	667
568	879	666
569	880	664
570	882	662
571	883	660
572	884	658
573	885	656
574	886	655
575	887	653
576	888	651
577	889	649
578	890	647
579	891	645
580	893	644
581	894	642
582	896	640
583	897	639
584	898	637
585	899	635
586	900	633
587	901	631
588	902	629
589	903	627
590	904	626
591	905	624
592	907	623
593	909	621
594	910	619
595	911	617
596	912	616
597	913	614
598	914	612
599	915	610
600	916	608
601	917	606
602	918	604
603	919	602
604	921	601
605	923	600
606	924	598
607	925	596
608	926	594
609	927	593
610	928	591
611	929	589
612	930	587
613	931	585
614	932	583
615	933	581
616	934	580
617	936	578
618	938	577
619	939	575
620	940	574
621	941	572
622	943	570
623	944	568
624	945	567
625	946	565
